UTARIH;FONKODU;FONADI;YONTIPI;YONTURU;TOPLAMDEGER;PIYASAFIYAT;DOLASIMDAKIPAYSAYISI;YATIRIMCISAYISI;HS;TR;BP;OZ;KB;KD;YM;HZ;DG
28.04.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;26141209.36;0.012258;2132669697.449;10662;32.45;3.58;0;6.94;45.32;0;2.22;0;9.49
02.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15238606.22;0.012656;1204026668.314;11475;0;0.21;0;0;85.55;0;0;0;11.57
02.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23611808.76;0.081562;289496106.232;19375;83.42;7.7;8.88;0;0;0;0;0;0
02.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;30986850.59;0.050348;615456104.103;28835;34.34;1.61;8.01;0;36.51;0;0;0;19.53
02.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23419159.44;0.038858;602688361.086;28163;0;57.15;0;0;23.87;0;0;0;18.98
02.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;26319003.91;0.012273;2144480334.397;10653;32.49;3.74;0;6.93;45.16;0;2.21;0;9.47
03.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15224277.53;0.012655;1203046021.81;11465;0;0.14;0;0;85.6;0;0;0;11.58
03.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23588924.28;0.081447;289622025.054;19372;83.43;7.63;8.94;0;0;0;0;0;0
03.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;31009872.84;0.0504;615275738.573;28829;34.41;1.61;7.91;0;36.52;0;0;0;19.55
03.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23620593.86;0.03887;607683709.03;28595;0;57.46;0;0;23.7;0;0;0;18.84
03.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;26498183.88;0.01225;2163159105.532;10665;32.13;4.54;0;6.88;44.85;0;2.19;0;9.41
04.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15233585.48;0.012672;1202178031.324;11458;0;0.04;0;0;85.52;0;0;0;11.73
04.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23512324.04;0.081205;289542418.987;19378;83.24;7.64;9.12;0;0;0;0;0;0
04.05.2017 00:00:00;ANE;AEGON EMEKLİLİK VE HAYAT A.Ş. KARMA EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Karma Fon;30986800.54;0.050334;615621784.434;28834;34.28;1.61;7.94;0;36.6;0;0;0;19.57
04.05.2017 00:00:00;ANK;AEGON EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;23418707.72;0.038882;602296459.948;28023;0;57.1;0;0;23.91;0;0;0;18.99
04.05.2017 00:00:00;AEE;ALLIANZ HAYAT VE EMEKLILIK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;;26812794.28;0.012233;2191845797.366;10679;31.5;6.04;0;6.79;44.24;0;2.16;0;9.27
05.05.2017 00:00:00;AEY;AEGON EMEKLILIK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU;Devlet Katkısı Fonu           ;Devlet Katkısı Fonu;15238491.49;0.012682;1201545032.074;11456;0;0.53;0;0;84.92;0;0;0;11.82
05.05.2017 00:00:00;ANS;AEGON EMEKLİLİK VE HAYAT  A.Ş. HİSSE SENEDİ EMEKLİLİK YATIRIM FONU;Emeklilik Yatırım Fonu        ;Hisse Senedi Fonu;23352342.31;0.080682;289436485.638;19377;83.3;7.7;9;0;0;0;0;0;0
